Date Announced,Num Cases
2020-03-04,5
2020-03-05,1
2020-03-07,2
2020-03-09,4
2020-03-10,4
2020-03-11,8
2020-03-12,4
2020-03-13,6
2020-03-14,11
2020-03-15,8
2020-03-16,12
2020-03-17,14
2020-03-18,22
2020-03-19,21
2020-03-20,52
2020-03-21,67
2020-03-22,59
2020-03-23,82
2020-03-24,63
2020-03-25,75
2020-03-26,58
2020-03-27,140
2020-03-28,123
2020-03-29,106
2020-03-30,178
2020-03-31,306
2020-04-01,423
2020-04-02,485
2020-04-03,556
2020-04-04,576
2020-04-05,606
2020-04-06,485
2020-04-07,570
2020-04-08,563
2020-04-09,812
2020-04-10,870
2020-04-11,853
2020-04-12,758
2020-04-13,1243
2020-04-14,1031
2020-04-15,884
2020-04-16,1061
2020-04-17,922
2020-04-18,1370
2020-04-19,1579
2020-04-20,1239
2020-04-21,1537
2020-04-22,1292
2020-04-23,1667
2020-04-24,1407
2020-04-25,1835
2020-04-26,1607
2020-04-27,1568
2020-04-28,1902
2020-04-29,1705
2020-04-30,1802
2020-05-01,2396
2020-05-02,2564
2020-05-03,2952
2020-05-04,3656
2020-05-05,2971
2020-05-06,3602
2020-05-07,3344
2020-05-08,3339
2020-05-09,3175
2020-05-10,4311
2020-05-11,3592
2020-05-12,3562
2020-05-13,3726
2020-05-14,3991
2020-05-15,3808
2020-05-16,4794
2020-05-17,5049
2020-05-18,4628
2020-05-19,6154
2020-05-20,5720
2020-05-21,6023
2020-05-22,6536
2020-05-23,6665
2020-05-24,7111
2020-05-25,6414
2020-05-26,5907
2020-05-27,7246
2020-05-28,7254
2020-05-29,8138
2020-05-30,8364
2020-05-31,8789
2020-06-01,7723
2020-06-02,8812
2020-06-03,9689
2020-06-04,9847
2020-06-05,9472
2020-06-06,10408
2020-06-07,10882
2020-06-08,8536
2020-06-09,9981
2020-06-10,11156
2020-06-11,11135
2020-06-12,11306
2020-06-13,12039
2020-06-14,11404
2020-06-15,10032
2020-06-16,11085
2020-06-17,13108
2020-06-18,13829
2020-06-19,14740
2020-06-20,15918
2020-06-21,15151
2020-06-22,13560
2020-06-23,15656
2020-06-24,16868
2020-06-25,18205
2020-06-26,18255
2020-06-27,20142
2020-06-28,19610
2020-06-29,18339
2020-06-30,18256
2020-07-01,19429
2020-07-02,21947
2020-07-03,22718
2020-07-04,24018
2020-07-05,23942
2020-07-06,22500
2020-07-07,23147
2020-07-08,24713
