Days,Count
02-02-2020,14
03-02-2020,15
04-02-2020,14
05-02-2020,26
06-02-2020,25
07-02-2020,55
08-02-2020,83
09-02-2020,64
10-02-2020,103
11-02-2020,37
12-02-2020,121
13-02-2020,70
14-02-2020,160
15-02-2020,100
16-02-2020,37
17-02-2020,227
18-02-2020,146
19-02-2020,601
20-02-2020,545
21-02-2020,516
22-02-2020,529
23-02-2020,701
24-02-2020,489
25-02-2020,573
26-02-2020,565
27-02-2020,809
28-02-2020,875
29-02-2020,846
01-03-2020,759
02-03-2020,1248
03-03-2020,1034
04-03-2020,883
05-03-2020,1060
06-03-2020,922
07-03-2020,2013
08-03-2020,1250
09-03-2020,924
10-03-2020,1541
11-03-2020,1290
12-03-2020,1669
13-03-2020,1408
14-03-2020,1836
15-03-2020,1607
16-03-2020,1561
17-03-2020,1873
18-03-2020,1738
19-03-2020,1801
20-03-2020,2394
21-03-2020,2442
22-03-2020,2806
23-03-2020,3932
24-03-2020,2963
25-03-2020,3587
26-03-2020,3364
27-03-2020,3344
28-03-2020,3113
29-03-2020,4353
30-03-2020,3607
31-03-2020,3524
01-04-2020,3763
02-04-2020,3942
03-04-2020,3787
04-04-2020,4864
05-04-2020,5050
06-04-2020,4630
07-04-2020,6147
08-04-2020,5553
09-04-2020,6198
10-04-2020,6568
11-04-2020,6629
12-04-2020,7113
13-04-2020,6414
14-04-2020,5843
15-04-2020,7293
16-04-2020,7300
17-04-2020,8105
18-04-2020,8336
19-04-2020,8782
20-04-2020,7761
21-04-2020,8821
